trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,key_resp.corr,ISI.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trials.response,participant,session,date,expName,psychopyVersion,frameRate
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,43,42,up,0.005,db,0.050753968,1,0.0008102,132.4089757,133.4255248,133.4255248,133.4087107,133.741283,0,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,44,43,up,0.005,db,0.050783193,0,0.0008085,134.800807,135.8192036,135.8192036,135.8023725,136.1346982,1,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,45,44,up,0.005,db,0.050783193,1,0.0005802,137.1938198,138.2141541,138.2141541,138.1955383,138.5276765,1,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,46,45,up,0.005,db,0.050783193,1,0.0003708,139.6037841,140.6223897,140.6223897,140.6056769,140.9216722,0,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,47,46,up,0.005,db,0.050812435,0,0.001197,141.9828464,142.9992996,142.9992996,142.9824129,143.29836,0,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,48,47,up,0.005,db,0.050841693,0,0.0012161,144.3946159,145.4094639,145.4094639,145.4094639,145.7086965,1,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,49,48,up,0.005,db,0.050841693,1,0.0007916,146.8259533,147.8362519,147.8362519,147.8362519,148.1353413,0,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,50,49,up,0.005,db,0.050870968,0,0.0012167,149.1835211,150.1964043,150.1964043,150.1964043,150.5117708,1,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,51,50,up,0.005,db,0.050870968,1,0.0003856,151.5957954,152.6064084,152.6064084,152.6064084,152.9057702,0,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,52,51,up,0.005,db,0.05090026,0,0.0012303,153.9510801,154.9664554,154.9664554,154.9664554,155.2656006,1,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,53,52,up,0.005,db,0.05090026,1,0.0012239,156.3609466,157.3767407,157.3767407,157.3599143,157.6757898,1,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,54,53,up,0.005,db,0.05090026,1,0.0011281,158.7200579,159.7371394,159.7371394,159.7202208,160.0359638,0,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,55,54,up,0.005,db,0.050929569,0,0.0012154,161.1316741,162.1470598,162.1470598,162.1470598,162.4624251,0,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,56,55,up,0.005,db,0.050958895,0,0.000364,163.5871386,164.6071342,164.6071342,164.5902112,164.9060967,1,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,57,56,up,0.005,db,0.050958895,1,0.0007413,165.9661209,166.9840537,166.9840537,166.9673742,167.2996271,1,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,58,57,up,0.005,db,0.050958895,1,0.0010742,168.3610851,169.3773878,169.3773878,169.3604281,169.6776239,1,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,59,58,down,0.005,db,0.050929569,1,0.0003523,170.7852584,171.8042396,171.8042396,171.7874159,172.1032601,1,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,60,59,down,0.005,db,0.050929569,1,0.0007747,173.1463765,174.1643384,174.1643384,174.1475009,174.479669,1,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,61,60,down,0.005,db,0.050929569,1,0.0003111,175.5036495,176.5242666,176.5242666,176.5078451,176.8236455,0,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,62,61,up,0.005,db,0.050958895,0,0.0008053,177.9165128,178.934632,178.934632,178.9178362,179.2335903,1,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,63,62,up,0.005,db,0.050958895,1,0.0009506,180.3272727,181.3446656,181.3446656,181.328105,181.6437919,0,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,64,63,up,0.005,db,0.050988238,0,0.0006581,182.6859425,183.7050173,183.7050173,183.6881883,184.0042226,0,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,65,64,up,0.005,db,0.051017598,0,0.0011968,185.1166742,186.1319706,186.1319706,186.1319706,186.4472675,1,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,66,65,up,0.005,db,0.051017598,1,0.0010515,187.7074817,188.7245412,188.7245412,188.7078709,189.0237891,1,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,67,66,up,0.005,db,0.051017598,1,0.0010782,190.1007206,191.1180942,191.1180942,191.1013101,191.4172286,0,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,68,67,up,0.005,db,0.051046974,0,0.0003016,192.4740472,193.4946899,193.4946899,193.4783536,193.7941365,1,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,69,68,up,0.005,db,0.051046974,1,0.0008963,194.8887893,195.9050361,195.9050361,195.8881944,196.2041325,1,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,70,69,up,0.005,db,0.051046974,1,0.0007432,197.2796339,198.2985669,198.2985669,198.2818265,198.6142105,0,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,71,70,up,0.005,db,0.051076368,0,0.0010964,199.7600861,200.775075,200.775075,200.775075,201.0742454,0,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,72,71,up,0.005,db,0.051105778,0,0.0004869,202.780743,203.8004069,203.8004069,203.7835349,204.0991287,0,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,73,72,up,0.005,db,0.051135205,0,0.0008711,205.2263095,206.2434172,206.2434172,206.2266544,206.5589009,1,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,74,73,up,0.005,db,0.051135205,1,0.0006466,207.7188408,208.7366432,208.7366432,208.7198109,209.0358319,0,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,75,74,up,0.005,db,0.05116465,0,0.000787,210.2620502,211.2798066,211.2798066,211.2628753,211.5953833,0,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,76,75,up,0.005,db,0.051194111,0,0.000799,212.8388215,213.8561983,213.8561983,213.8394965,214.1716655,1,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,77,76,up,0.005,db,0.051194111,1,0.0007969,215.2317972,216.2496746,216.2496746,216.2329163,216.5649121,1,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,78,77,up,0.005,db,0.051194111,1,0.0003245,217.5892779,218.6096723,218.6096723,218.5931181,218.9089702,1,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,79,78,down,0.005,db,0.05116465,1,0.0003748,219.9662803,220.9867834,220.9867834,220.970049,221.3024692,0,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,80,79,up,0.005,db,0.051194111,0,0.0008296,222.3302418,223.3469833,223.3469833,223.3302269,223.662329,0,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,81,80,up,0.005,db,0.051223589,0,0.0006651,224.755166,225.7733282,225.7733282,225.7564165,226.0726108,0,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,82,81,up,0.005,db,0.051253084,0,0.000971,230.9064075,231.9232712,231.9232712,231.9064517,232.2224632,1,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
